text_id	seq	span_s	span_e
dirtymouth	3	2016-07-01 04:00:00 +0900	2016-08-01 04:00:00 +0900
voiceofhouse	4	2016-07-01 04:00:00 +0900	2016-08-01 04:00:00 +0900
binaryoverdrive	5	2016-07-01 04:00:00 +0900	2016-08-01 04:00:00 +0900
diamondskin	1	2016-08-01 04:00:00 +0900	2016-09-01 04:00:00 +0900
dirtymouth	2	2016-08-01 04:00:00 +0900	2016-09-01 04:00:00 +0900
wanyowanyo	3	2016-08-01 04:00:00 +0900	2016-09-01 04:00:00 +0900
yuwaku	4	2016-08-01 04:00:00 +0900	2016-09-01 04:00:00 +0900
gimmechoco	5	2016-08-01 04:00:00 +0900	2016-09-01 04:00:00 +0900
dirtymouth	1	2016-09-01 04:00:00 +0900	2016-10-01 04:00:00 +0900
wanyowanyo	2	2016-09-01 04:00:00 +0900	2016-10-01 04:00:00 +0900
kimitomusic	3	2016-09-01 04:00:00 +0900	2016-10-01 04:00:00 +0900
howtrueisyourlove	4	2016-09-01 04:00:00 +0900	2016-10-01 04:00:00 +0900
megitsune	5	2016-09-01 04:00:00 +0900	2016-10-01 04:00:00 +0900
kimitomusic	1	2016-10-01 04:00:00 +0900	2016-11-01 04:00:00 +0900
wanyowanyo	2	2016-10-01 04:00:00 +0900	2016-11-01 04:00:00 +0900
hi	3	2016-10-01 04:00:00 +0900	2016-11-01 04:00:00 +0900
survival	4	2016-10-01 04:00:00 +0900	2016-11-01 04:00:00 +0900
flowerwall	5	2016-10-01 04:00:00 +0900	2016-11-01 04:00:00 +0900
kimitomusic	1	2016-11-01 04:00:00 +0900	2016-12-01 04:00:00 +0900
flowerwall	2	2016-11-01 04:00:00 +0900	2016-12-01 04:00:00 +0900
breakdown	3	2016-11-01 04:00:00 +0900	2016-12-01 04:00:00 +0900
overlap	4	2016-11-01 04:00:00 +0900	2016-12-01 04:00:00 +0900
ijimedamezettai	5	2016-11-01 04:00:00 +0900	2016-12-01 04:00:00 +0900
flowerwall	1	2016-12-01 04:00:00 +0900	2017-01-01 04:00:00 +0900
breakdown	2	2016-12-01 04:00:00 +0900	2017-01-01 04:00:00 +0900
hopesbright	3	2016-12-01 04:00:00 +0900	2017-01-01 04:00:00 +0900
yell	4	2016-12-01 04:00:00 +0900	2017-01-01 04:00:00 +0900
giantkilling	5	2016-12-01 04:00:00 +0900	2017-01-01 04:00:00 +0900
breakdown	1	2017-01-01 04:00:00 +0900	2017-02-01 04:00:00 +0900
hopesbright	2	2017-01-01 04:00:00 +0900	2017-02-01 04:00:00 +0900
landingonthemoon	3	2017-01-01 04:00:00 +0900	2017-02-01 04:00:00 +0900
aerial	4	2017-01-01 04:00:00 +0900	2017-02-01 04:00:00 +0900
theepic	5	2017-01-01 04:00:00 +0900	2017-02-01 04:00:00 +0900
hopesbright	1	2017-02-01 04:00:00 +0900	2017-03-01 04:00:00 +0900
landingonthemoon	2	2017-02-01 04:00:00 +0900	2017-03-01 04:00:00 +0900
jahacid	3	2017-02-01 04:00:00 +0900	2017-03-01 04:00:00 +0900
headphoneparty	4	2017-02-01 04:00:00 +0900	2017-03-01 04:00:00 +0900
anomie	5	2017-02-01 04:00:00 +0900	2017-03-01 04:00:00 +0900
landingonthemoon	1	2017-03-01 04:00:00 +0900	2017-04-01 04:00:00 +0900
jahacid	2	2017-03-01 04:00:00 +0900	2017-04-01 04:00:00 +0900
hi	3	2017-03-01 04:00:00 +0900	2017-04-01 04:00:00 +0900
winteragain	4	2017-03-01 04:00:00 +0900	2017-04-01 04:00:00 +0900
otherside	5	2017-03-01 04:00:00 +0900	2017-04-01 04:00:00 +0900
jahacid	1	2017-04-01 04:00:00 +0900	2017-05-01 04:00:00 +0900
hi	2	2017-04-01 04:00:00 +0900	2017-05-01 04:00:00 +0900
whenyoucallmyname	3	2017-04-01 04:00:00 +0900	2017-05-01 04:00:00 +0900
gimmechoco	4	2017-04-01 04:00:00 +0900	2017-05-01 04:00:00 +0900
justicefromguilty	5	2017-04-01 04:00:00 +0900	2017-05-01 04:00:00 +0900
hi	1	2017-05-01 04:00:00 +0900	2017-06-01 04:00:00 +0900
whenyoucallmyname	2	2017-05-01 04:00:00 +0900	2017-06-01 04:00:00 +0900
lotuslove	3	2017-05-01 04:00:00 +0900	2017-06-01 04:00:00 +0900
ijimedamezettai	4	2017-05-01 04:00:00 +0900	2017-06-01 04:00:00 +0900
makeitfresh	5	2017-05-01 04:00:00 +0900	2017-06-01 04:00:00 +0900
whenyoucallmyname	1	2017-06-01 04:00:00 +0900	2017-07-01 04:00:00 +0900
lotuslove	2	2017-06-01 04:00:00 +0900	2017-07-01 04:00:00 +0900
anomie	3	2017-06-01 04:00:00 +0900	2017-07-01 04:00:00 +0900
amenootoganijiwoyobu	4	2017-06-01 04:00:00 +0900	2017-07-01 04:00:00 +0900
survival	5	2017-06-01 04:00:00 +0900	2017-07-01 04:00:00 +0900
lotuslove	1	2017-07-01 04:00:00 +0900	2017-08-01 04:00:00 +0900
anomie	2	2017-07-01 04:00:00 +0900	2017-08-01 04:00:00 +0900
touchofgold	3	2017-07-01 04:00:00 +0900	2017-08-01 04:00:00 +0900
sugarsongtobitterstep	4	2017-07-01 04:00:00 +0900	2017-08-01 04:00:00 +0900
howtrueisyourlove	5	2017-07-01 04:00:00 +0900	2017-08-01 04:00:00 +0900
anomie	1	2017-08-01 04:00:00 +0900	2017-09-01 04:00:00 +0900
touchofgold	2	2017-08-01 04:00:00 +0900	2017-09-01 04:00:00 +0900
theepic	3	2017-08-01 04:00:00 +0900	2017-09-01 04:00:00 +0900
wego	4	2017-08-01 04:00:00 +0900	2017-09-01 04:00:00 +0900
iluminaregalo	5	2017-08-01 04:00:00 +0900	2017-09-01 04:00:00 +0900
touchofgold	1	2017-09-01 04:00:00 +0900	2017-10-01 04:00:00 +0900
theepic	2	2017-09-01 04:00:00 +0900	2017-10-01 04:00:00 +0900
aqualight	3	2017-09-01 04:00:00 +0900	2017-10-01 04:00:00 +0900
xencounter	4	2017-09-01 04:00:00 +0900	2017-10-01 04:00:00 +0900
megitsune	5	2017-09-01 04:00:00 +0900	2017-10-01 04:00:00 +0900
theepic	1	2017-10-01 04:00:00 +0900	2017-11-01 04:00:00 +0900
aqualight	2	2017-10-01 04:00:00 +0900	2017-11-01 04:00:00 +0900
binaryoverdrive	3	2017-10-01 04:00:00 +0900	2017-11-01 04:00:00 +0900
memories	4	2017-10-01 04:00:00 +0900	2017-11-01 04:00:00 +0900
yuwaku	5	2017-10-01 04:00:00 +0900	2017-11-01 04:00:00 +0900
aqualight	1	2017-11-01 04:00:00 +0900	2017-12-01 04:00:00 +0900
binaryoverdrive	2	2017-11-01 04:00:00 +0900	2017-12-01 04:00:00 +0900
thisishdm	3	2017-11-01 04:00:00 +0900	2017-12-01 04:00:00 +0900
wannabeyourspecial	4	2017-11-01 04:00:00 +0900	2017-12-01 04:00:00 +0900
sayonarasaishuressha	5	2017-11-01 04:00:00 +0900	2017-12-01 04:00:00 +0900
binaryoverdrive	1	2017-12-01 04:00:00 +0900	2018-01-01 04:00:00 +0900
thisishdm	2	2017-12-01 04:00:00 +0900	2018-01-01 04:00:00 +0900
southwind	3	2017-12-01 04:00:00 +0900	2018-01-01 04:00:00 +0900
rearhythm	4	2017-12-01 04:00:00 +0900	2018-01-01 04:00:00 +0900
amenootoganijiwoyobu	5	2017-12-01 04:00:00 +0900	2018-01-01 04:00:00 +0900
thisishdm	1	2018-01-01 04:00:00 +0900	2018-02-01 04:00:00 +0900
southwind	2	2018-01-01 04:00:00 +0900	2018-02-01 04:00:00 +0900
theblademaster	3	2018-01-01 04:00:00 +0900	2018-02-01 04:00:00 +0900
silburysign	4	2018-01-01 04:00:00 +0900	2018-02-01 04:00:00 +0900
paradiseregained	5	2018-01-01 04:00:00 +0900	2018-02-01 04:00:00 +0900
southwind	1	2018-02-01 04:00:00 +0900	2018-03-01 04:00:00 +0900
theblademaster	2	2018-02-01 04:00:00 +0900	2018-03-01 04:00:00 +0900
